,ZINC ID,Global Rank∗,Clustered Rank†,Energy,TC to knowns‡,Cosest neighbor among known DRD4 binders,Top-pick or not,Just from energy window,Energy window,Tested or not,Binder or not,D4 Ki(nM),D2 Ki(nM),D3 Ki(nM),cAMP EC50(nM),Inhibition (%) at 10uM,SMILES,Vendor ID,Charge from docked poses
270,ZINC000414865159,88466,17662,-58,0.32,ZINC000013581635,0,1,-58,1,0,,,,NT,48.93,CCNCc1ccccc1NCc1ccc(N2CCCC2)nc1,Z2354496472,1
271,ZINC000415558697,88592,17674,-58,0.27,ZINC000034642886,0,1,-58,1,1,990,2000,5870,NT,89,CCCC[C@H](CN)NC(=O)Nc1cnn(-c2ccc(C)cc2C)c1,Z2355798953,1
272,ZINC000422901222,88402,17657,-58,0.28,ZINC000027864607,0,1,-58,1,0,,,,NT,-25.46,CCCC[C@@H](CN)NC(=O)c1cnc2c(C)cccn2c1=O,Z2377368000,1
273,ZINC000428256950,88720,17638,-58,0.33,ZINC000013474739,0,1,-58,1,0,,,,NT,28.19,CN(CCc1cccs1)Cc1cccc(F)c1C#N,Z2206671384,1
274,ZINC000428731910,88492,17663,-58,0.31,ZINC000001481770,0,1,-58,1,0,,,,NT,17.7,C[C@]12CCN(C3c4ccccc4-c4ccccc43)C[C@H]1C2(F)F,Z2207221916,1
275,ZINC000443500799,88434,17665,-58,0.35,ZINC000002451065,0,1,-58,1,0,,,,NT,69.23,C[C@@H](COCc1ccccc1)N=c1[nH]c2cccc(F)c2n1C,Z1999989962,1
276,ZINC000447942180,88708,17656,-58,0.35,ZINC000073197403,0,1,-58,1,0,,,,NT,-5.12,Fc1ccccc1CCNCc1ccnn1-c1ccccc1,Z1930473080,1
277,ZINC000474810522,88485,17650,-58,0.33,ZINC000040829211,0,1,-58,1,1,2790,>10000,>10000,NT,61.91,C[C@@H](CN[C@@H](C)C1CCSCC1)Oc1cccc(Cl)c1,Z1747399476,1
278,ZINC000495880797,88480,17669,-58,0.34,ZINC000169327097,0,1,-58,1,0,,,,NT,-11.11,Cc1cncc([C@@H](C)N[C@@H](C)CCCNC(=O)OC(C)(C)C)c1,Z2286227716,1
279,ZINC000497056051,88549,17676,-58,0.34,ZINC000013553232,0,1,-58,1,1,2220,>10000,>10000,NT,93.2,C[C@@H]1CN(Cc2cccc3c[nH]nc32)C[C@H]1NC(=O)OC(C)(C)C,Z1898030979,1
280,ZINC000568745637,88417,17635,-58,0.29,ZINC000013864298,0,1,-58,1,0,,,,NT,26.04,CNCCCn1c(=O)oc2cc(Br)c(F)cc21,Z2438156888,1
281,ZINC000569686370,88431,17659,-58,0.34,ZINC000002004806,0,1,-58,1,1,550,>10000,>10000,7840,104.16,C=C(C)COCCNC[C@H](O)Cc1ccc(C(F)(F)F)cc1,Z2406380818,1
282,ZINC000570378223,88618,17673,-58,0.31,ZINC000019632912,0,1,-58,1,0,,,,NT,74.78,C[C@@H](NCCc1nc(O)c2ccccc2n1)c1ncc(Br)cn1,Z2330308236,1
283,ZINC000584136937,88487,17658,-58,0.32,ZINC000022939543,0,1,-58,1,1,7740,>10000,>10000,NT,63.72,COc1cncc(CN[C@H](c2ccc(Cl)cc2)C2CCC2)c1,Z2149357196,1
284,ZINC000601145950,88735,17653,-58,0.32,ZINC000013450384,0,1,-58,1,0,,,,NT,5.5,COC(=O)[C@H](C)NC(=O)[C@H](C)NCc1ccc(C)cc1Cl,Z2770215906,1
285,ZINC000638645623,88657,17646,-58,0.35,ZINC000053026007,0,1,-58,1,0,,,,NT,13.3,C[C@H]1CC[C@@H](NC(=O)CCc2cc(F)ccc2F)CN1,Z2827057441,1
286,ZINC000653191880,88601,17682,-58,0.29,ZINC000049034896,0,1,-58,1,0,,,,NT,17.77,CC(C)(C(=O)Nc1cc2c(nc1O)CCCC2)[C@@H](N)c1ccccc1,Z2488825936,1
287,ZINC000655940516,88534,17645,-58,0.29,ZINC000095584611,0,1,-58,1,0,,,,NT,45.6,Cn1cc([C@@H]2CN(CCC(C)(C)C3CC3)C[C@H]2N)cn1,Z2505086307,1
288,ZINC000663410642,88524,17660,-58,0.33,ZINC000073196712,0,1,-58,1,0,,,,NT,14.47,CCN(CCCNc1cc(C(F)(F)F)cc(C)n1)S(C)(=O)=O,Z2610878882,1
289,ZINC000423069736,88688,17649,-58,0.35,ZINC000034665863,0,1,-58,1,0,,,,NT,36.82,C[C@@H](CN[C@@H]1CCCCC[C@H]1N)Oc1ccc(Cl)cc1,Z2377586766,1
290,ZINC000119410297,88988,17748,-57.99,0.35,ZINC000025966579,0,1,-58,1,0,,,,NT,-26.23,N#Cc1ccc(OC[C@H](O)CN(C[C@@H]2CCCO2)[C@@H]2CCSC2)cc1,Z1535317499,1
291,ZINC000128472643,88761,17691,-57.99,0.28,ZINC000013587957,0,1,-58,1,0,,,,NT,9.97,CN(C[C@H](O)C(F)(F)F)CC1(O)CCOCC1,Z1587925647,1
292,ZINC000343185691,89081,17693,-57.99,0.34,ZINC000026752280,0,1,-58,1,0,,,,NT,86.21,Cn1ccc(CNCCCc2cccc(Cl)c2)c1,Z1545137757,1
293,ZINC000639320180,88901,17695,-57.99,0.22,ZINC000026170182,0,1,-58,1,0,,,,NT,13.13,COc1nsc(CNC[C@H](CO)CC2CC2)c1Br,Z2829604914,1
294,ZINC000092642352,313928,42403,-55,0.23,ZINC000004316467,0,1,-55,1,1,820,>10000,>10000,ND,87.72,C[C@@H]1CCCN(C(C)(C)CNc2nc(C3CC3)ns2)C1,Z1576770225,1
295,ZINC000127859549,313080,42379,-55,0.33,ZINC000013737384,0,1,-55,1,1,260,>10000,3570,10390,101.34,Cc1ccc(CNCCCn2cccn2)cc1Br,Z1559182560,1
